"","Pyruvate7a","Pyruvate7b","Pyruvate5a","Pyruvate5b","logFC","logCPM","PValue","FDR_pyr7_vs_pyr5"
"MT0217",97.6864145892843,67.6010489453349,130.939350075008,164.794409852963,0.837448457656251,7.07914862311569,0.100700724509373,0.842995814514679
"MT0218",108.54046065476,67.6010489453349,90.6503192826977,54.9314699509875,-0.236745440518397,6.6593366623199,0.722607041226198,1
"MT0219",32.5621381964281,19.3145854129528,30.2167730942326,10.9862939901975,-0.266825880451063,5.46055824903885,0.999999999999914,1
"MT0220",10.854046065476,19.3145854129528,50.3612884903876,21.972587980395,1.19508942702501,5.54171182106899,0.348833662373705,1
"MT0221",379.891612291661,444.235464497915,725.202554261581,758.054285323628,0.838966122918147,9.2218957252714,9.46676727372109e-05,0.00682164112371079
"MT0222",21.7080921309521,0,30.2167730942326,32.9588819705925,1.51106862469639,5.37626747846258,0.289134610932418,1
"MT0223",0,0,50.3612884903876,76.9040579313826,5.63454307961504,5.69937436436772,0.000489462718609034,0.026918570901727
"MT0224",32.5621381964281,9.65729270647641,0,32.9588819705925,-0.348571400757314,5.2840593996089,1,1
"MT0225",10.854046065476,38.6291708259056,20.144515396155,10.9862939901975,-0.653991086346196,5.36995091063184,0.727212860747525,1
"MT0226",10.854046065476,0,30.2167730942326,32.9588819705925,2.35729008990679,5.28246044811846,0.125048078357077,0.876191495173839
"MT0227",10.854046065476,19.3145854129528,40.2890307923101,0,0.41351403289362,5.27722077785271,0.999999999999998,1
"MT0228",0,28.9718781194292,0,32.9588819705925,0.0850302157669849,5.180206054204,1,1
"MT0229",0,9.65729270647641,10.0722576980775,10.9862939901975,0.881940272383622,4.83217399791538,0.999999999999731,1
"MT0230",282.205197702377,376.63441555258,201.44515396155,175.78070384316,-0.806156655342085,8.13359223974518,0.0128660858177828,0.293682393666781
"MT0231",54.2702303273802,48.2864635323821,40.2890307923101,43.94517596079,-0.274075054073187,6.07408710937865,0.814590538052361,1
