"","Glycerol7a","Glycerol7b","Glycerol5a","Glycerol5b","logFC","logCPM","PValue","FDR_gly7_vs_gly5"
"MT0155",98.4935120117955,126.092448492268,76.4878975459907,106.993417042258,-0.308349798613357,6.95239709185377,0.647564896432212,1
"MT0156",98.4935120117955,89.0064342298365,152.975795091981,66.8708856514113,0.244428599962251,6.91655006314878,0.765259304070392,1
"MT0157",89.5395563743596,74.1720285248638,63.739914621659,0,-1.28755127477625,6.34038803129612,0.0745212273995104,0.542983912524449
"MT0160",0,14.8344057049728,12.7479829243318,0,-0.267815312674358,4.77771316669194,1,1
"MT0161",0,7.41720285248638,0,26.7483542605645,1.43503439092589,4.78782692792811,0.999999999999999,1
"MT0162",35.8158225497438,22.2516085574591,50.9919316973272,26.7483542605645,0.446804895382249,5.72416156564299,0.774488563935263,1
"MT0163",71.6316450994876,44.5032171149183,38.2439487729954,13.3741771302823,-1.086857262328,6.00860255840109,0.216178759599902,0.829449084539641
"MT0165",107.447467649231,200.264477017132,89.2358804703225,40.1225313908468,-1.2494250850801,7.09872115026614,0.0224474898344742,0.27941735671179
"MT0167",17.9079112748719,14.8344057049728,25.4959658486636,26.7483542605645,0.646436800248288,5.33025927780016,0.726622713122023,1
"MT0168",35.8158225497438,7.41720285248638,12.7479829243318,26.7483542605645,-0.0556259960276207,5.32837726855024,1,1
"MT0171",53.7237338246157,22.2516085574591,12.7479829243318,13.3741771302823,-1.40729791987767,5.56136225652168,0.361543145198615,0.988439517996765
"MT0172",0,7.41720285248638,12.7479829243318,13.3741771302823,1.43034516069058,4.7872040245374,1,1
"MT0173",89.5395563743596,89.0064342298365,38.2439487729954,66.8708856514113,-0.759292581836397,6.55093450248901,0.265313899034512,0.904360800365459
"MT0175",438.743826234362,370.860142624319,101.983863394654,147.115948433105,-1.68850013082267,8.21631401959701,4.17842421585182e-06,0.000323646206110435
"MT0176",510.375471333849,541.455808231506,191.219743864977,66.8708856514113,-2.00425006495247,8.51112370973936,2.2418947512293e-08,3.993935499315e-06
"MT0177",188.033068386155,148.344057049728,38.2439487729954,53.496708521129,-1.83857615744008,7.07741183712105,0.000751133939216534,0.0259834002468787
"MT0178",286.526580397951,341.191331214373,229.463692637972,227.361011214798,-0.465160511350168,8.20830145743511,0.159472440326369,0.763710087208133
"MT0179",98.4935120117955,148.344057049728,89.2358804703225,53.496708521129,-0.794555773223093,6.93216285872753,0.1276029864639,0.677265775212061
"MT0180",376.06613677231,370.860142624319,203.967726789309,187.238479823952,-0.92661844808133,8.28921026202349,0.00441851660701267,0.103504313556225
"MT0181",447.697781871798,363.442939771833,101.983863394654,160.490125563387,-1.61638045297838,8.23167666714886,1.07738845627771e-05,0.000697951830857726
"MT0182",376.06613677231,378.277345476805,101.983863394654,40.1225313908468,-2.37412643900066,8.02337460173891,4.85803934799103e-09,1.01818789393483e-06
"MT0183",573.053160795901,615.627836756369,267.707641410968,147.115948433105,-1.50737018646664,8.76823946888051,7.38852266365357e-07,6.58132656264942e-05
"MT0184",367.112181134874,348.60853406686,165.723778016313,240.735188345081,-0.815536381033994,8.2643503288879,0.013479658736354,0.219306046016572
"MT0185",80.5856007369236,81.5892313773502,101.983863394654,66.8708856514113,0.0635855342002307,6.68159969964416,1,1
"MT0186",17.9079112748719,29.6688114099455,50.9919316973272,66.8708856514113,1.22914552369583,5.86660168672968,0.118620623465965,0.669538985181506
"MT0187",232.802846573335,192.847274164646,140.22781216765,53.496708521129,-1.10301336732725,7.50651892702304,0.0157080336126079,0.233198849007174
"MT0188",80.5856007369236,103.840839934809,165.723778016313,147.115948433105,0.741068160443373,7.13184017150451,0.0944680420994344,0.617595658716119
"MT0189",71.6316450994876,66.7548256723774,76.4878975459907,53.496708521129,-0.0780383000549902,6.4503487919772,1,1
"MT0190",8.95395563743596,22.2516085574591,12.7479829243318,13.3741771302823,-0.289033430529656,5.12533760322244,1,1
"MT0191",44.7697781871798,81.5892313773502,127.479829243318,120.36759417254,0.922111284404905,6.77534285630216,0.095322753784461,0.6209048843401
"MT0192",53.7237338246157,96.4236370823229,63.739914621659,0,-1.19947087111053,6.28877368871354,0.127982174371956,0.677265775212061
"MT0193",26.8618669123079,51.9204199674046,38.2439487729954,13.3741771302823,-0.610534278159864,5.76793386013396,0.587138486266115,1
"MT0194",35.8158225497438,37.0860142624319,38.2439487729954,0,-0.859146556720393,5.63267358603618,0.562356298243326,1
"MT0195",107.447467649231,148.344057049728,293.203607259631,307.606073996492,1.2044062959516,7.81306980663309,0.00114218524600116,0.0353878785348012
"MT0196",268.618669123079,118.675245639782,254.959658486636,307.606073996492,0.563526787495421,7.97243621579216,0.204512285869182,0.829449084539641
"MT0197",8.95395563743596,22.2516085574591,50.9919316973272,13.3741771302823,0.957274951450653,5.41794309652057,0.525746066863106,1
"MT0198",44.7697781871798,178.012868459673,293.203607259631,254.109365475363,1.24023644692851,7.67703862723638,0.00772676356607899,0.158221026355974
"MT0199",107.447467649231,89.0064342298365,101.983863394654,80.2450627816935,-0.0906268674889028,6.84547657548485,1,1
"MT0200",71.6316450994876,29.6688114099455,178.471760940645,93.6192399119758,1.45919030476755,6.73313673500282,0.0186364052133694,0.25539042990475
"MT0201",71.6316450994876,96.4236370823229,89.2358804703225,106.993417042258,0.198412642177976,6.78586772967987,0.738332727994613,1
"MT0202",89.5395563743596,148.344057049728,63.739914621659,26.7483542605645,-1.38299208670497,6.76599431474124,0.0363173677801188,0.376159248257451
"MT0203",8.95395563743596,0,38.2439487729954,13.3741771302823,2.36580776704825,5.04014223452432,0.218827431789858,0.829449084539641
"MT0204",8.95395563743596,14.8344057049728,12.7479829243318,13.3741771302823,0.0919769608522712,5.0227397252203,0.999999999999973,1
"MT0207",26.8618669123079,14.8344057049728,25.4959658486636,26.7483542605645,0.345292259212056,5.41666379074662,0.999999999999966,1
"MT0208",196.987024023591,192.847274164646,191.219743864977,40.1225313908468,-0.729444484454411,7.49718310636149,0.155391629540863,0.752255945725675
"MT0209",0,7.41720285248638,38.2439487729954,26.7483542605645,2.67451615568386,5.14838522682799,0.125072273649147,0.669538985181506
"MT0210",53.7237338246157,29.6688114099455,25.4959658486636,40.1225313908468,-0.303529492175537,5.84608516803817,0.790608046975771,1
"MT0211",62.6776894620517,66.7548256723774,38.2439487729954,13.3741771302823,-1.27396202548835,6.1055864948427,0.0964162216551506,0.624601814104185
"MT0212",205.940979661027,155.761259902214,101.983863394654,160.490125563387,-0.450907086012435,7.47857752850946,0.346893581960415,0.988439517996765
"MT0213",44.7697781871798,51.9204199674046,38.2439487729954,13.3741771302823,-0.867982889880326,5.89186598153783,0.301959603876541,0.946246322438095
"MT0214",62.6776894620517,51.9204199674046,38.2439487729954,40.1225313908468,-0.522422346606308,6.12143111887658,0.6477804239371,1
"MT0215",26.8618669123079,37.0860142624319,12.7479829243318,26.7483542605645,-0.694177779878067,5.5607010753573,0.75397398416932,1
"MT0216",501.421515696414,445.032171149183,407.935453578617,454.722022429597,-0.129065106636469,8.88664343364185,0.6423152142689,1
"MT0217",89.5395563743596,126.092448492268,127.479829243318,93.6192399119758,0.0207887124017891,7.01857629458145,1,1
"MT0218",71.6316450994876,44.5032171149183,38.2439487729954,53.496708521129,-0.306449445834213,6.17907845093832,0.823899899963854,1
"MT0219",26.8618669123079,7.41720285248638,25.4959658486636,0,-0.300248540201692,5.13141378294401,1,1
"MT0220",17.9079112748719,14.8344057049728,25.4959658486636,26.7483542605645,0.646436800248288,5.33025927780016,0.726622713122023,1
"MT0221",152.217245836411,207.681679869619,254.959658486636,267.483542605645,0.516717686369163,7.88696583748879,0.132513066231637,0.694923914004366
"MT0222",17.9079112748719,14.8344057049728,0,13.3741771302823,-1.168114682122,5.01747606620322,0.625041295817921,1
"MT0223",44.7697781871798,0,50.9919316973272,26.7483542605645,0.87389291878287,5.59134527753627,0.600710046203891,1
"MT0224",17.9079112748719,29.6688114099455,12.7479829243318,0,-1.71822286438304,5.21491575295743,0.218827431789858,0.829449084539641
"MT0225",8.95395563743596,0,0,40.1225313908468,1.96506400470616,4.92173960257952,0.451474754934238,1
"MT0226",0,14.8344057049728,25.4959658486636,0,0.619299320288065,4.90762758140417,1,1
"MT0227",8.95395563743596,0,12.7479829243318,13.3741771302823,1.43031533420284,4.79071115546997,1,1
"MT0228",17.9079112748719,22.2516085574591,38.2439487729954,0,-0.0487940563489429,5.32066117274601,1,1
"MT0230",205.940979661027,244.76769413205,191.219743864977,106.993417042258,-0.59193236299025,7.73015381260142,0.172448888692368,0.781235118434433
"MT0231",53.7237338246157,51.9204199674046,38.2439487729954,40.1225313908468,-0.417880433095845,6.0698262613449,0.814621275756372,1
"MT0232",35.8158225497438,29.6688114099455,12.7479829243318,26.7483542605645,-0.694207583488565,5.56381285735559,0.75397398416932,1
"MT0233",35.8158225497438,22.2516085574591,25.4959658486636,26.7483542605645,-0.115992994425362,5.57191526074337,1,1
"MT0234",8.95395563743596,0,50.9919316973272,13.3741771302823,2.66912136695161,5.15114398793775,0.139991968663762,0.718171465171639
"MT0235",62.6776894620517,51.9204199674046,89.2358804703225,26.7483542605645,0.0441808165815891,6.27867244438678,1,1
"MT0236",71.6316450994876,74.1720285248638,25.4959658486636,40.1225313908468,-1.132169628529,6.25322041670302,0.189503522794262,0.808624014031084
"MT0237",196.987024023591,192.847274164646,76.4878975459907,106.993417042258,-1.08108864027759,7.40780882670218,0.0177180028136841,0.244686992345568
"MT0238",26.8618669123079,29.6688114099455,12.7479829243318,13.3741771302823,-1.05146323456626,5.39950334439761,0.507920883619586,1
"MT0239",35.8158225497438,22.2516085574591,25.4959658486636,0,-1.05228088637677,5.40210186096358,0.510576929079305,1
"MT0240",62.6776894620517,22.2516085574591,50.9919316973272,13.3741771302823,-0.322176228654795,5.84788959868271,0.810535610777554,1
"MT0241",80.5856007369236,126.092448492268,0,26.7483542605645,-2.89381260885995,6.43449301255054,0.000491070581626634,0.0178539232891398
"MT0242",53.7237338246157,51.9204199674046,127.479829243318,53.496708521129,0.776899733927958,6.47300755971791,0.27635038533471,0.921944216243044
"MT0244",107.447467649231,74.1720285248638,89.2358804703225,26.7483542605645,-0.598640245787701,6.59521994549435,0.392030195076893,0.998430010764096
"MT0245",17.9079112748719,51.9204199674046,25.4959658486636,0,-1.38595542789894,5.54836353226216,0.39098130873692,0.997184254137185
"MT0246",26.8618669123079,7.41720285248638,76.4878975459907,13.3741771302823,1.4016389863292,5.5926368492892,0.299826828328626,0.946246322438095
"MT0247",107.447467649231,185.430071312159,152.975795091981,93.6192399119758,-0.264997495403408,7.30067393841708,0.625093746509259,1
"MT0250",89.5395563743596,81.5892313773502,50.9919316973272,66.8708856514113,-0.526975114176271,6.55765794131907,0.458619944843706,1
"MT0251",35.8158225497438,29.6688114099455,38.2439487729954,26.7483542605645,0.00767511979247413,5.71620245084203,1,1
"MT0252",26.8618669123079,14.8344057049728,38.2439487729954,0,-0.0582842113012557,5.32391277177845,1,1
"MT0253",80.5856007369236,29.6688114099455,101.983863394654,66.8708856514113,0.664224926562427,6.43624131642778,0.359927849095604,0.988439517996765
"MT0254",0,7.41720285248638,50.9919316973272,0,2.36937012976342,5.03610586702018,0.319362164916153,0.96923968790141
"MT0255",107.447467649231,111.258042787296,101.983863394654,13.3741771302823,-0.887268964780443,6.7532163954775,0.166081015564735,0.781235118434433
