"","Glycerol7a","Glycerol7b","Pyruvate5a","Pyruvate5b","logFC","logCPM","PValue","FDR_gly7_vs_pyr5"
"MT0141",44.0852258848901,55.9807301449899,0,0,-5.32627552631383,5.53391730936863,0.00195649979166757,0.0685903676963456
"MT0142",88.1704517697802,37.3204867633266,72.4490053670169,86.3974845854429,0.37837011882507,6.50507772920331,0.70567162113811,1
"MT0143",55.1065323561126,37.3204867633266,0,32.3990567195411,-1.44798087069938,5.69196482739275,0.150795688206446,0.85638797383287
"MT0144",11.0213064712225,27.990365072495,51.7492895478692,32.3990567195411,1.0188949392085,5.68994957395488,0.387806597326044,1
"MT0145",22.042612942445,27.990365072495,10.3498579095738,0,-2.01358585755626,5.1738429126248,0.218803965596538,0.937144677480333
"MT0146",11.0213064712225,0,10.3498579095738,0,0.0518624105514534,4.69214498444223,1,1
"MT0147",44.0852258848901,65.3108518358216,20.6997158191477,32.3990567195411,-1.03693770298603,5.94995428023886,0.210254182439619,0.937144677480333
"MT0148",11.0213064712225,37.3204867633266,31.0495737287215,53.9984278659018,0.71442096400749,5.76009438581813,0.581151126949361,1
"MT0149",99.1917582410027,111.96146028998,93.1487211861646,64.7981134390822,-0.414720434977957,6.82512313338749,0.499849814401708,1
"MT0150",110.213064712225,102.631338599148,41.3994316382954,64.7981134390822,-0.988171962480626,6.65270338617002,0.0709220118503729,0.664526631890687
"MT0151",77.1491452985576,55.9807301449899,82.7988632765908,53.9984278659018,0.0635919965670846,6.4581874502303,1,1
"MT0152",99.1917582410027,65.3108518358216,113.848437005312,53.9984278659018,0.0609898304836023,6.69311825561449,1,1
"MT0153",187.362210010783,279.90365072495,300.145879377642,377.988995061313,0.513376072588399,8.26290240615711,0.109626917285458,0.781200222979494
"MT0154",11.0213064712225,27.990365072495,113.848437005312,64.7981134390822,2.08371390355688,6.22832494012517,0.00810064294756652,0.206538071236556
"MT0155",121.234371183448,158.612068744138,113.848437005312,107.996855731804,-0.346005560773702,7.19707798590938,0.478744168131921,1
"MT0156",121.234371183448,111.96146028998,113.848437005312,53.9984278659018,-0.453207926195555,6.92144709808905,0.343738993237195,1
"MT0157",110.213064712225,93.3012169083165,72.4490053670169,86.3974845854429,-0.345215718309156,6.79606778626196,0.499849814401708,1
"MT0160",0,18.6602433816633,20.6997158191477,10.7996855731804,0.589277336582841,5.06722758950006,1,1
"MT0162",44.0852258848901,27.990365072495,82.7988632765908,53.9984278659018,0.93303018264315,6.17956955067766,0.263360327172049,0.958889642495401
"MT0163",88.1704517697802,55.9807301449899,31.0495737287215,43.1987422927215,-0.911781419858601,6.22873043536748,0.189425835169039,0.934569140766325
"MT0165",132.25567765467,251.913285652455,196.647300281903,161.995283597705,-0.124073807404106,7.6987775305091,0.917704609439871,1
"MT0167",22.042612942445,18.6602433816633,20.6997158191477,21.5993711463607,0.0610243541872571,5.36957415835164,1,1
"MT0168",44.0852258848901,9.33012169083165,0,21.5993711463607,-1.17599704212336,5.2798915463442,0.489884980788728,1
"MT0171",66.1278388273351,27.990365072495,20.6997158191477,10.7996855731804,-1.45021215704515,5.69318619959677,0.153031758081849,0.861047072930463
